,time,value
452,453,180
453,454,179
454,455,178
455,456,178
456,457,181
457,458,185
458,459,187
459,460,190
460,461,186
461,462,184
462,463,188
463,464,191
464,465,192
465,466,195
466,467,196
467,468,203
468,469,261
469,470,270
470,471,274
471,472,285
472,473,303
473,474,314
474,475,322
475,476,331
476,477,272
477,478,220
478,479,237
479,480,215
480,481,208
481,482,211
482,483,217
483,484,219
484,485,220
485,486,220
486,487,225
487,488,230
488,489,232
489,490,193
490,491,184
491,492,178
492,493,178
493,494,177
494,495,177
495,496,177
496,497,177
497,498,189
498,499,189
499,500,190
500,501,194
501,502,192
502,503,191
503,504,191
504,505,192
505,506,193
506,507,193
507,508,195
508,509,196
509,510,196
510,511,198
511,512,199
512,513,199
513,514,199
514,515,198
515,516,198
516,517,198
517,518,197
518,519,196
519,520,191
520,521,181
